date,average_return
2016-08-17,981523.4580000213
2016-08-08,3566309.352000042
2016-04-22,-4023462.00799983
2016-07-06,1.6216499090000039E7
2015-11-20,1785211.931999949
2016-04-15,-1.4056446380000055E7
2016-03-17,9966453.82399995
2016-01-29,4.9230521130000114E7
2016-04-18,-8501613.671999967
2016-09-27,5586687.922000031
2016-09-21,15471.172000029124
2016-06-08,3293969.16999997
2016-01-27,-8.32280669440001E7
2015-12-18,-7.36948858779999E7
2016-09-14,6.85152113059998E7
2016-05-16,2.4761103411999933E7
2016-07-19,-3162608.5239999546
2016-04-11,-4308569.580000032
2016-03-09,9929617.524000011
2016-09-13,2948406.623999999
2016-08-29,-1799011.842000066
2016-07-08,5821653.962000062
2016-04-12,7306308.727999973
2016-01-14,4.145116098400004E7
2016-04-27,3.508890006999989E7
2016-01-04,3.1228171705999922E7
2016-05-27,1.011050118999995E7
2016-03-29,2.6611721758000046E7
2016-10-20,-7580463.11599997
2016-06-23,8387764.201999952
2016-10-04,-2214379.4500000263
2016-06-29,1.4901952040000075E7
2016-10-14,-4197003.761999981
2016-04-01,-1.0035115516000003E7
2016-08-30,-2147578.2499999846
2016-06-20,-1.2365112760000024E7
2016-09-30,6009354.372000003
2016-06-02,-562108.1979999827
2016-03-08,8320144.701999998
2016-04-08,-1.890011467600002E7
2015-12-03,-2.0167819515999928E7
2015-11-11,-1163867.3020000877
2016-07-11,8251446.356000042
2016-05-19,-1813226.435999963
2016-04-26,-1.0061034348000009E7
2016-08-11,-2656614.375999951
2015-12-16,2.3333471778000146E7
2016-08-12,1545862.8940000185
2016-05-06,6495058.59399995
2016-04-07,-2.8671396475999974E7
2016-07-20,-2461399.4240000616
2016-10-25,670115.3059999855
2016-11-01,-2.837410934799999E7
2016-09-22,3460150.1060000686
2016-06-10,-6952108.602000023
2016-07-22,387306.3559999674
2016-08-23,809353.9939999802
2016-08-01,1.4640665647999953E7
2016-09-15,4.2001546749999866E7
2016-06-07,9721006.527999982
2016-07-28,1.4166391838000065E7
2016-03-03,8430580.664000038
2016-07-15,-4777773.194000001
2016-06-28,9840965.75599993
2016-03-04,5875592.258000004
2015-12-17,-3.766467741999992E7
2015-11-16,3.645244399400009E7
2016-01-06,5016694.029999992
2016-05-26,1.2068500681999892E7
2016-05-25,1.0790700184000006E7
2016-06-01,-2160221.6379999886
2016-04-05,2.870041702999999E7
2016-05-13,1768927.4279999968
2015-11-30,-2316343.331999927
2016-06-27,-7779856.879999964
2016-04-29,-5230437.850000061
2016-04-14,3880142.487999978
2016-02-03,-6.886617180400008E7
2016-10-24,1.6586227338000083E7
2016-02-12,-7748507.44400004
2016-01-20,4.16464346080002E7
2016-10-19,5394742.759999998
2016-05-24,1.718615511400006E7
2015-11-23,-1.0322245321999993E7
2016-03-23,-1.3359916964000057E7
2015-12-28,1478208.1639999517
2016-09-08,-2.142746997600005E7
2015-12-14,1.4146644428000012E7
2015-12-02,-1.4307296875999993E7
2016-11-02,-6323321.590000017
2016-07-13,-6420710.073999976
2016-06-14,-2534021.1699999943
2016-03-14,8574900.944000024
2015-11-19,9902953.82199998
2016-06-15,-4610908.977999987
2016-05-31,9267160.938000066
2016-02-18,-3.004821598599996E7
2016-08-22,-2347001.5539999595
2016-04-21,-4526991.65600004
2016-03-31,-3049217.996000023
2016-07-05,3145098.282
2015-12-31,-1.9696173788000014E7
2016-10-06,-943302.886000016
2016-09-06,3393652.307999977
2016-08-16,-4018061.0379999997
2016-08-02,-1.3226962379999997E7
2016-05-18,9015861.304000068
2016-03-22,1.0159723137999991E7
2016-02-23,-1.9187096514000066E7
2016-02-05,-8.240859155199999E7
2016-02-01,8384367.346000018
2015-11-12,-7466853.814000006
2016-05-11,-7687520.912000015
2016-10-12,454644.0120000679
2016-08-24,-4647463.655999998
2016-08-04,8539874.526000062
2016-01-11,-1.1400604467999998E7
2016-02-10,-2.923487521200008E7
2016-07-29,2616462.9699999345
2016-02-02,-5.694145880600002E7
2016-10-10,9494671.30200002
2015-11-13,-3.669954873799994E7
2016-10-27,-3.168722688599999E7
2016-06-06,2356749.152000004
2016-08-31,2898844.9879999785
2016-07-12,4881839.926000024
2016-03-15,1.1713660258000074E7
2016-01-19,-3.1671038653999947E7
2016-02-17,3.6316539876000024E7
2016-06-13,-2013560.1479999148
2015-11-10,-1.237427628200011E7
2016-10-03,296657.87199998123
2016-06-24,1.0947313116000082E7
2016-09-20,554595.6659999627
2016-05-23,-3053394.881999982
2016-01-21,-1.1597123528000057E7
2016-08-09,4573700.363999993
2016-07-27,-2.6242558032000046E7
2016-08-26,-4416350.867999994
2016-01-07,-4.4702335500000045E7
2015-12-08,7508543.38000006
2016-10-28,-1.6863372782000065E7
2016-06-21,1.1880864301999984E7
2016-04-13,1.686574018800011E7
2016-10-05,-2494110.674000006
2015-12-23,8436425.843999973
2016-05-12,-3.8864522473999955E7
2016-03-11,4700608.516000069
2016-06-03,-4082770.4880000264
2015-11-18,2.7491711974E7
2016-03-18,-2.2142808521999992E7
2016-09-07,2736880.886000012
2016-01-05,-3.6517229804000095E7
2015-11-27,-568088.2040000085
2016-05-09,-9155624.217999984
2016-01-28,8616029.508000005
2016-05-10,6879111.08600002
2015-12-15,-2.3628286127999984E7
2015-11-24,1.384382006999996E7
2016-09-26,4979534.283999982
2016-09-23,-1.9476805912000097E7
2016-03-02,1.0526649064000022E7
2016-09-29,-1.3853835885999963E7
2016-09-19,-1.854465049199999E7
2016-08-15,7138383.108000025
2016-08-18,-512184.66200002294
2016-01-08,-3.913916620400007E7
2016-10-18,3746508.33199991
2016-03-30,2120691.5579999276
2016-03-24,1.5013957091999983E7
2016-08-25,1716628.2459999516
2016-08-03,7693990.056000017
2015-12-04,6.6383848949999884E7
2015-11-17,-9540936.480000038
2016-05-20,1.3233490297999976E7
2016-10-07,-5305724.7579999985
2016-03-21,7854460.19799993
2015-11-09,-1.4756537354000032E7
2016-09-28,2251600.656000019
2016-01-13,-9.16873403519999E7
2016-09-09,-2.6511522432000063E7
2016-06-09,742150.790000049
2015-12-22,-861505.8160000176
2016-02-22,1.2642485963999946E7
2016-06-30,1.302050451199999E7
2015-12-07,-75799.80999991744
2016-07-01,1.5213151694000017E7
2016-01-25,-3.0461274956E7
2016-07-26,846539.2160000618
2016-05-04,-1.9166278744000036E7
2016-07-14,9546104.232000034
2016-10-11,-2.4042294062000066E7
2016-07-25,615092.0140000053
2016-05-05,-4.191032821000008E7
2016-02-26,-1.0953567048000047E7
2016-02-04,-2908650.589999995
2016-09-16,-3099355.36400005
2016-09-01,-7180162.765999926
2016-02-16,1.2211431994000081E7
2016-09-12,3.8928190847999915E7
2016-04-25,4483702.471999967
2016-08-19,4367355.776000005
2016-03-01,3.659353931199992E7
2016-02-29,-5818940.018000043
2016-01-15,1.7190660899999954E7
2015-12-24,-3263975.3299999926
2016-08-05,1.5296295242000103E7
2016-06-22,-1.8405052609999985E7
2016-04-04,-1911958.157999965
2016-04-19,-2.078158337800002E7
2015-12-30,-7417328.52600001
2016-04-20,112402.28199999928
2015-12-21,935174.3179999404
2016-07-07,2409245.313999975
2016-03-10,-1.1359272411999948E7
2015-12-10,-241491.13800001107
2016-02-08,1.242028740000011E7
2016-05-02,1795810.5580000863
2015-11-25,115773.00799999386
2016-03-07,-5847988.599999996
2016-01-26,1072424.8959998626
2015-12-11,-3.6226385855999894E7
2016-08-10,-5216623.233999957
2016-03-16,2.1841710862E7
2016-02-11,1.0611335945999939E7
2016-10-13,1588532.9979999894
2015-12-29,1.9270789055999987E7
2016-05-17,-2.322253554200003E7
2016-02-09,2.4219789711999863E7
2016-05-03,2412227.00000002
2016-04-28,-6.309394620200001E7
2016-02-24,3.1111767821999937E7
2016-10-26,1.4847784126000026E7
2016-01-22,4.306962906600009E7
2016-02-25,1.8274625630000077E7
2016-02-19,3066448.118000065
2016-10-17,-2509566.4679999924
2016-06-17,-3.1091957669999987E7
2016-06-16,1.1104483193999974E7
2016-10-21,-8892543.764000103
2016-07-18,1.7280826891999945E7
2016-09-02,-5652708.337999997
2016-01-12,-4629612.171999977
2015-12-01,9551789.136000019
2015-12-09,-1236065.9059999152
2016-10-31,-1.166363433200002E7
2016-07-21,-8996646.667999944
2016-04-06,3.6089916757999994E7
2016-03-28,-7216540.578000029
